breakdown,breakdown_value,measure,sig,impact,insight,insight_type,score,iid,sid,name,year,team_name,age,lg_name,pos_name,id,x,y
year,1967,PTS,1.0,0.191245888,Change Point,Shape,0.191245888,125,314676,*,*,*,*,*,C,161,-3.718935,-46.091915
year,1971,PTS,0.944851475,0.191245888,Outlier,Shape,0.180698959,189,314676,*,*,*,*,*,C,162,-3.7189364,-46.09191
lg_name,NBA,PTS,0.922064267,0.191245888,Attribution,Point,0.176340999,235,314676,*,*,*,*,*,C,163,-3.017237,40.076084
year,-1,AST,0.236784603,0.191245888,Trend,Shape,0.045284082,325,314676,*,*,*,*,*,C,164,-22.61052,-68.79404
name,Kareem Abdul-Jabbar,AST,0.713041788,0.191245888,Top1,Point,0.13636631,383,314676,*,*,*,*,*,C,165,72.060356,-8.9367485
age,25,AST,0.856507837,0.191245888,Top1,Point,0.163803602,391,314676,*,*,*,*,*,C,166,71.95424,-9.163631
year,1967,AST,1.0,0.191245888,Change Point,Shape,0.191245888,425,314676,*,*,*,*,*,C,167,-22.61052,-68.79404
year,1975,AST,0.963515966,0.191245888,Outlier,Shape,0.184268466,489,314676,*,*,*,*,*,C,168,-22.610561,-68.79494
lg_name,NBA,AST,0.923213267,0.191245888,Attribution,Point,0.176560741,535,314676,*,*,*,*,*,C,169,71.97458,-9.116764
year,-1,PTS;AST,0.530075265,0.191245888,Clustering,Compound Shape,0.096420069,556,314676,*,*,*,*,*,C,170,-14.370586,-67.30668
team_name,-1,PTS;AST,0.786259795,0.191245888,Clustering,Compound Shape,0.108444631,566,314676,*,*,*,*,*,C,171,76.39318,2.8351321
name,-1,PTS;AST,0.754101237,0.191245888,Clustering,Compound Shape,0.160526289,571,314676,*,*,*,*,*,C,172,76.41856,3.5345361
name,-1,PTS;AST,0.804403605,0.191245888,Cross Measure Correlation,Compound,0.1538388809999999,606,314676,*,*,*,*,*,C,173,76.419136,3.5332496
year,-1,PTS;AST,0.860074498,0.191245888,Cross Measure Correlation,Compound,0.164485711,614,314676,*,*,*,*,*,C,174,-14.370586,-67.30668
age,-1,PTS;AST,0.979314769,0.191245888,Cross Measure Correlation,Compound,0.187289922,625,314676,*,*,*,*,*,C,175,76.42196,3.65831
team_name,-1,PTS;AST,0.940790648,0.191245888,Cross Measure Correlation,Compound,0.179922343,634,314676,*,*,*,*,*,C,176,76.39223,2.8351119
year,-1,PTS,0.424901652,0.104372288,Trend,Shape,0.044347958,26,215454,*,*,*,24,NBA,*,177,-4.819634,19.704762
year,1958,PTS,1.0,0.104372288,Change Point,Shape,0.104372288,148,215454,*,*,*,24,NBA,*,178,-4.8195376,19.704546
year,1980,PTS,0.974977132,0.104372288,Outlier,Shape,0.101760594,187,215454,*,*,*,24,NBA,*,179,-4.8195395,19.704649
year,-1,AST,0.355968227,0.104372288,Trend,Shape,0.0371532179999999,330,215454,*,*,*,24,NBA,*,180,-50.87169,-25.596346
pos_name,PG,AST,0.978597752,0.104372288,Top1,Point,0.1021384869999999,390,215454,*,*,*,24,NBA,*,181,-50.457943,39.512638
year,1968,AST,1.0,0.104372288,Change Point,Shape,0.104372288,448,215454,*,*,*,24,NBA,*,182,-50.86556,-25.596327
year,1983,AST,0.96661465,0.104372288,Outlier,Shape,0.100887783,488,215454,*,*,*,24,NBA,*,183,-50.865322,-25.596361
pos_name,PG,AST,0.321079083,0.104372288,Attribution,Point,0.033511759,506,215454,*,*,*,24,NBA,*,184,-50.458054,39.51522
name,-1,PTS;AST,0.487787922,0.104372288,Clustering,Compound Shape,0.075745546,555,215454,*,*,*,24,NBA,*,185,-51.35995,41.67657
year,-1,PTS,0.59747269,0.195870882,Trend,Shape,0.117027503,27,314677,*,*,*,*,*,SG,186,-4.0906324,-44.41183
