breakdown,breakdown_value,measure,sig,impact,insight,insight_type,score,iid,sid,name,year,team_name,age,lg_name,pos_name,index,x,y
team_name,-1,PTS;AST,0.824431678,0.116149335,Clustering,Compound Shape,0.0780774229999999,560,58084,*,*,*,24,*,*,155,42.48436,-40.640263
name,-1,PTS;AST,0.4795410579999999,0.116149335,Clustering,Compound Shape,0.08383259,574,58084,*,*,*,24,*,*,156,42.692055,-40.440758
team_name,-1,PTS;AST,0.982580693,0.116149335,Cross Measure Correlation,Compound,0.114126094,600,58084,*,*,*,24,*,*,157,42.48435,-40.640266
year,-1,PTS,0.4870391679999999,0.191245888,Trend,Shape,0.093144238,25,314676,*,*,*,*,*,C,158,32.490784,-13.19515
age,24,PTS,0.873854612,0.191245888,Top1,Point,0.167121101,88,314676,*,*,*,*,*,C,159,-60.224323,-16.877441
name,Kareem Abdul-Jabbar,PTS,0.655415947,0.191245888,Top1,Point,0.125345605,91,314676,*,*,*,*,*,C,160,-60.43622,-17.148045
year,1967,PTS,1.0,0.191245888,Change Point,Shape,0.191245888,125,314676,*,*,*,*,*,C,161,32.488785,-13.1956005
year,1971,PTS,0.944851475,0.191245888,Outlier,Shape,0.180698959,189,314676,*,*,*,*,*,C,162,32.488785,-13.195602
lg_name,NBA,PTS,0.922064267,0.191245888,Attribution,Point,0.176340999,235,314676,*,*,*,*,*,C,163,-60.284695,-16.915102
year,-1,AST,0.236784603,0.191245888,Trend,Shape,0.045284082,325,314676,*,*,*,*,*,C,164,33.74451,18.719543
name,Kareem Abdul-Jabbar,AST,0.713041788,0.191245888,Top1,Point,0.13636631,383,314676,*,*,*,*,*,C,165,-18.104439,60.833996
age,25,AST,0.856507837,0.191245888,Top1,Point,0.163803602,391,314676,*,*,*,*,*,C,166,-17.866306,60.932976
year,1967,AST,1.0,0.191245888,Change Point,Shape,0.191245888,425,314676,*,*,*,*,*,C,167,33.74449,18.719522
year,1975,AST,0.963515966,0.191245888,Outlier,Shape,0.184268466,489,314676,*,*,*,*,*,C,168,33.744484,18.719526
lg_name,NBA,AST,0.923213267,0.191245888,Attribution,Point,0.176560741,535,314676,*,*,*,*,*,C,169,-17.912802,60.910553
year,-1,PTS;AST,0.530075265,0.191245888,Clustering,Compound Shape,0.096420069,556,314676,*,*,*,*,*,C,170,35.644974,10.265225
team_name,-1,PTS;AST,0.786259795,0.191245888,Clustering,Compound Shape,0.108444631,566,314676,*,*,*,*,*,C,171,-32.12401,50.30141
name,-1,PTS;AST,0.754101237,0.191245888,Clustering,Compound Shape,0.160526289,571,314676,*,*,*,*,*,C,172,-32.2427,50.9866
name,-1,PTS;AST,0.804403605,0.191245888,Cross Measure Correlation,Compound,0.1538388809999999,606,314676,*,*,*,*,*,C,173,-32.24239,50.985847
year,-1,PTS;AST,0.860074498,0.191245888,Cross Measure Correlation,Compound,0.164485711,614,314676,*,*,*,*,*,C,174,35.644974,10.265225
age,-1,PTS;AST,0.979314769,0.191245888,Cross Measure Correlation,Compound,0.187289922,625,314676,*,*,*,*,*,C,175,-32.24692,51.105507
team_name,-1,PTS;AST,0.940790648,0.191245888,Cross Measure Correlation,Compound,0.179922343,634,314676,*,*,*,*,*,C,176,-32.12401,50.301414
year,-1,PTS,0.424901652,0.104372288,Trend,Shape,0.044347958,26,215454,*,*,*,24,NBA,*,177,-31.64661,-50.3786
year,1958,PTS,1.0,0.104372288,Change Point,Shape,0.104372288,148,215454,*,*,*,24,NBA,*,178,-31.646503,-50.377903
year,1980,PTS,0.974977132,0.104372288,Outlier,Shape,0.101760594,187,215454,*,*,*,24,NBA,*,179,-31.646215,-50.379032
year,-1,AST,0.355968227,0.104372288,Trend,Shape,0.0371532179999999,330,215454,*,*,*,24,NBA,*,180,2.246749,-60.81415
pos_name,PG,AST,0.978597752,0.104372288,Top1,Point,0.1021384869999999,390,215454,*,*,*,24,NBA,*,181,5.871327,71.39929
year,1968,AST,1.0,0.104372288,Change Point,Shape,0.104372288,448,215454,*,*,*,24,NBA,*,182,2.246728,-60.813038
year,1983,AST,0.96661465,0.104372288,Outlier,Shape,0.100887783,488,215454,*,*,*,24,NBA,*,183,2.2468119,-60.812347
pos_name,PG,AST,0.321079083,0.104372288,Attribution,Point,0.033511759,506,215454,*,*,*,24,NBA,*,184,5.871327,71.39929
name,-1,PTS;AST,0.487787922,0.104372288,Clustering,Compound Shape,0.075745546,555,215454,*,*,*,24,NBA,*,185,6.055417,73.87166
year,-1,PTS,0.59747269,0.195870882,Trend,Shape,0.117027503,27,314677,*,*,*,*,*,SG,186,34.07536,-14.131282
age,24,PTS,0.8602351570000001,0.195870882,Top1,Point,0.168495019,86,314677,*,*,*,*,*,SG,187,-59.451485,-16.12805
year,1967,PTS,1.0,0.195870882,Change Point,Shape,0.195870882,135,314677,*,*,*,*,*,SG,188,34.075356,-14.131283
year,1971,PTS,0.9307094,0.195870882,Outlier,Shape,0.182298871,177,314677,*,*,*,*,*,SG,189,34.07536,-14.131283
